,Name,Longitude,Latitude,Elevation
0,Freiburg,7.8343,48.0232,236
1,Konstanz,9.1307,47.6952,428
2,Mannheim,8.5584,49.5063,98
3,Nuernberg,11.0549,49.503,314
4,Stuttgart,9.2201,48.6849,378
