Station,Nürnberg
Latitude,49.503
Longitude,11.0549
Elevation,314.0
,
Time,Precipitation
1958-01-01,59.2
1958-02-01,79.6
1958-03-01,35.2
1958-04-01,45.8
1958-05-01,48.2
1958-06-01,79.3
1958-07-01,61.8
1958-08-01,80.6
1958-09-01,62.6
1958-10-01,51.8
1958-11-01,13.1
1958-12-01,60.3
1959-01-01,39.4
1959-02-01,7.8
1959-03-01,29.3
1959-04-01,46.2
1959-05-01,32.4
1959-06-01,38.1
1959-07-01,76.0
1959-08-01,84.2
1959-09-01,1.6
1959-10-01,54.0
1959-11-01,41.3
1959-12-01,58.7
1960-01-01,39.2
1960-02-01,35.3
1960-03-01,48.0
1960-04-01,18.4
1960-05-01,66.0
1960-06-01,25.7
1960-07-01,54.1
1960-08-01,106.3
1960-09-01,23.2
1960-10-01,128.5
1960-11-01,56.6
1960-12-01,52.1
1961-01-01,38.4
1961-02-01,53.7
1961-03-01,23.6
1961-04-01,72.5
1961-05-01,70.3
1961-06-01,99.1
1961-07-01,78.2
1961-08-01,72.3
1961-09-01,46.2
1961-10-01,28.7
1961-11-01,34.3
1961-12-01,66.2
1962-01-01,31.9
1962-02-01,65.6
1962-03-01,53.7
1962-04-01,34.9
1962-05-01,71.0
1962-06-01,30.0
1962-07-01,79.2
1962-08-01,37.9
1962-09-01,84.3
1962-10-01,3.0
1962-11-01,25.8
1962-12-01,50.8
1963-01-01,24.7
1963-02-01,14.7
1963-03-01,64.1
1963-04-01,31.5
1963-05-01,28.0
1963-06-01,128.5
1963-07-01,66.8
1963-08-01,73.3
1963-09-01,33.2
1963-10-01,28.9
1963-11-01,55.8
1963-12-01,5.0
1964-01-01,23.6
1964-02-01,16.9
1964-03-01,40.5
1964-04-01,30.8
1964-05-01,57.9
1964-06-01,33.0
1964-07-01,6.0
1964-08-01,23.0
1964-09-01,45.3
1964-10-01,36.5
1964-11-01,63.6
1964-12-01,23.0
1965-01-01,112.9
1965-02-01,26.7
1965-03-01,84.1
1965-04-01,76.6
1965-05-01,103.9
1965-06-01,112.1
1965-07-01,78.9
1965-08-01,44.5
1965-09-01,65.9
1965-10-01,3.6
1965-11-01,61.8
1965-12-01,92.4
1966-01-01,28.5
1966-02-01,52.3
1966-03-01,53.9
1966-04-01,63.7
1966-05-01,84.3
1966-06-01,99.9
1966-07-01,114.0
1966-08-01,83.4
1966-09-01,28.7
1966-10-01,71.4
1966-11-01,37.8
1966-12-01,96.1
1967-01-01,27.0
1967-02-01,45.2
1967-03-01,34.9
1967-04-01,33.5
1967-05-01,58.3
1967-06-01,54.8
1967-07-01,39.4
1967-08-01,81.8
1967-09-01,58.8
1967-10-01,45.8
1967-11-01,40.2
1967-12-01,74.5
1968-01-01,59.2
1968-02-01,40.1
1968-03-01,35.4
1968-04-01,60.9
1968-05-01,43.9
1968-06-01,65.4
1968-07-01,92.4
1968-08-01,133.8
1968-09-01,120.2
1968-10-01,45.6
1968-11-01,24.6
1968-12-01,31.3
1969-01-01,50.9
1969-02-01,25.3
1969-03-01,38.7
1969-04-01,47.9
1969-05-01,43.1
1969-06-01,82.8
1969-07-01,17.4
1969-08-01,80.4
1969-09-01,10.5
1969-10-01,3.7
1969-11-01,56.8
1969-12-01,24.4
1970-01-01,34.1
1970-02-01,112.1
1970-03-01,53.5
1970-04-01,85.2
1970-05-01,66.2
1970-06-01,43.9
1970-07-01,61.2
1970-08-01,75.6
1970-09-01,29.7
1970-10-01,75.4
1970-11-01,35.5
1970-12-01,37.2
1971-01-01,20.9
1971-02-01,21.7
1971-03-01,19.9
1971-04-01,28.1
1971-05-01,131.5
1971-06-01,86.8
1971-07-01,1.5
1971-08-01,61.4
1971-09-01,64.5
1971-10-01,30.3
1971-11-01,37.3
1971-12-01,22.7
1972-01-01,21.4
1972-02-01,7.4
1972-03-01,35.4
1972-04-01,38.0
1972-05-01,54.3
1972-06-01,110.0
1972-07-01,74.6
1972-08-01,77.8
1972-09-01,16.6
1972-10-01,32.6
1972-11-01,66.6
1972-12-01,11.5
1973-01-01,28.8
1973-02-01,35.2
1973-03-01,24.1
1973-04-01,60.0
1973-05-01,40.4
1973-06-01,77.3
1973-07-01,106.3
1973-08-01,25.9
1973-09-01,11.9
1973-10-01,41.3
1973-11-01,52.4
1973-12-01,38.4
1974-01-01,54.8
1974-02-01,42.7
1974-03-01,20.6
1974-04-01,14.6
1974-05-01,47.4
1974-06-01,101.5
1974-07-01,106.2
1974-08-01,68.7
1974-09-01,59.3
1974-10-01,82.1
1974-11-01,40.6
1974-12-01,87.5
1975-01-01,64.8
1975-02-01,18.3
1975-03-01,23.7
1975-04-01,35.1
1975-05-01,78.5
1975-06-01,145.8
1975-07-01,30.9
1975-08-01,57.9
1975-09-01,33.8
1975-10-01,30.4
1975-11-01,47.7
1975-12-01,9.9
1976-01-01,70.4
1976-02-01,14.6
1976-03-01,17.2
1976-04-01,10.1
1976-05-01,34.6
1976-06-01,33.7
1976-07-01,65.2
1976-08-01,36.2
1976-09-01,76.6
1976-10-01,42.4
1976-11-01,31.0
1976-12-01,51.2
1977-01-01,60.9
1977-02-01,64.7
1977-03-01,61.4
1977-04-01,62.7
