,t2m,tp,msl,v10,u10,EAWR,SCAN,NAO,EA,u250,u850,u500,u700,u1000,v250,v850,v500,v700,v1000,r250,r850,r500,r700,r1000,z250,z500,z700,z850,z1000,t250,t850,t500,t700,t1000,dtd250,dtd850,dtd500,dtd700,dtd1000
Recursive,23.0,26.0,16.0,18.0,22.0,27.0,26.0,32.0,29.0,25.0,23.0,28.0,22.0,23.0,26.0,21.0,18.0,16.0,18.0,14.0,16.0,20.0,22.0,23.0,21.0,20.0,21.0,21.0,20.0,24.0,24.0,26.0,24.0,27.0,22.0,23.0,23.0,16.0,13.0
TreeBased,24.0,20.0,3.0,3.0,5.0,30.0,26.0,32.0,29.0,17.0,8.0,10.0,6.0,6.0,19.0,8.0,14.0,7.0,4.0,2.0,3.0,9.0,3.0,5.0,23.0,15.0,21.0,18.0,5.0,19.0,9.0,11.0,8.0,15.0,3.0,2.0,5.0,3.0,14.0
