,t2m,tp,msl,v10,u10,z500,z850,q850,q500,t850,t500,r850,r500,u850,u500,v850,v500,d2m,NAO,z250,z1000,z700,t250,t700,t1000,u250,u700,u1000,v250,v700,v1000,r250,r700,r1000,EA,SCAN,EAWR
Recursive,8.0,18.0,4.0,7.0,15.0,6.0,6.0,6.0,6.0,7.0,9.0,7.0,8.0,6.0,9.0,10.0,7.0,6.0,9.0,3.0,5.0,4.0,10.0,7.0,6.0,4.0,7.0,11.0,9.0,7.0,8.0,7.0,15.0,11.0,10.0,11.0,11.0
TreeBased,,18.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Sequential,1.0,18.0,8.0,4.0,9.0,8.0,9.0,10.0,18.0,3.0,5.0,3.0,1.0,,4.0,4.0,4.0,3.0,5.0,8.0,5.0,5.0,7.0,2.0,,,2.0,1.0,7.0,3.0,3.0,1.0,9.0,5.0,3.0,1.0,1.0
