Date,Precipitation
1958-01-01,26.658730158730165
1958-02-01,163.2111111111111
1958-03-01,-32.493650793650765
1958-04-01,23.19523809523809
1958-05-01,-0.673015873015899
1958-06-01,-4.582539682539675
1958-07-01,-3.3079365079365175
1958-08-01,30.45555555555555
1958-09-01,-5.501587301587293
1958-10-01,12.850793650793662
1958-11-01,-44.67460317460316
1958-12-01,1.7095238095238159
1959-01-01,18.258730158730174
1959-02-01,-57.98888888888888
1959-03-01,-39.09365079365077
1959-04-01,0.8952380952380921
1959-05-01,-19.973015873015896
1959-06-01,-36.38253968253967
1959-07-01,-46.70793650793652
1959-08-01,-22.54444444444446
1959-09-01,-53.00158730158729
1959-10-01,-10.84920634920634
1959-11-01,-40.57460317460316
1959-12-01,-21.59047619047619
1960-01-01,-39.74126984126983
1960-02-01,0.11111111111111427
1960-03-01,-1.0936507936507667
1960-04-01,-35.304761904761904
1960-05-01,-8.773015873015893
1960-06-01,-24.882539682539672
1960-07-01,8.792063492063477
1960-08-01,44.15555555555554
1960-09-01,-32.101587301587294
1960-10-01,49.450793650793656
1960-11-01,-11.774603174603165
1960-12-01,-38.29047619047619
1961-01-01,-4.141269841269832
1961-02-01,8.911111111111126
1961-03-01,-19.393650793650764
1961-04-01,33.9952380952381
1961-05-01,55.326984126984115
1961-06-01,15.31746031746033
1961-07-01,-2.1079365079365147
1961-08-01,-18.54444444444445
1961-09-01,-27.801587301587297
1961-10-01,-26.149206349206345
1961-11-01,-30.97460317460316
1961-12-01,21.209523809523816
1962-01-01,3.4587301587301624
1962-02-01,28.411111111111126
1962-03-01,32.50634920634923
1962-04-01,-8.004761904761907
1962-05-01,9.92698412698411
1962-06-01,-62.082539682539675
1962-07-01,-31.207936507936523
1962-08-01,-19.54444444444445
1962-09-01,-9.801587301587297
1962-10-01,-60.34920634920634
1962-11-01,-50.774603174603165
1962-12-01,31.609523809523807
1963-01-01,-54.64126984126983
1963-02-01,-41.68888888888888
1963-03-01,28.906349206349233
1963-04-01,-16.204761904761902
1963-05-01,-44.77301587301589
1963-06-01,67.01746031746032
1963-07-01,21.092063492063474
1963-08-01,38.95555555555555
1963-09-01,8.898412698412699
1963-10-01,-18.649206349206345
1963-11-01,68.62539682539685
1963-12-01,-76.0904761904762
1964-01-01,-54.44126984126983
1964-02-01,-26.98888888888888
1964-03-01,9.806349206349239
1964-04-01,10.4952380952381
1964-05-01,-15.57301587301589
1964-06-01,-3.082539682539675
1964-07-01,-79.90793650793653
1964-08-01,-36.244444444444454
1964-09-01,-22.101587301587294
1964-10-01,-18.649206349206345
1964-11-01,56.125396825396834
1964-12-01,-50.19047619047619
1965-01-01,70.35873015873017
1965-02-01,-18.88888888888888
1965-03-01,38.70634920634923
1965-04-01,51.9952380952381
1965-05-01,62.526984126984104
1965-06-01,23.01746031746032
1965-07-01,29.292063492063477
1965-08-01,-20.344444444444463
1965-09-01,32.19841269841271
1965-10-01,-58.149206349206345
1965-11-01,48.125396825396834
1965-12-01,93.9095238095238
1966-01-01,-13.341269841269835
1966-02-01,-6.48888888888888
1966-03-01,34.80634920634924
1966-04-01,0.8952380952380921
1966-05-01,9.026984126984104
1966-06-01,20.717460317460322
1966-07-01,1.4920634920634797
1966-08-01,159.65555555555554
1966-09-01,-12.201587301587296
1966-10-01,16.950793650793656
1966-11-01,-0.8746031746031662
1966-12-01,98.5095238095238
1967-01-01,-15.241269841269833
1967-02-01,-1.48888888888888
1967-03-01,25.906349206349233
1967-04-01,-5.704761904761902
1967-05-01,-7.673015873015899
1967-06-01,-9.382539682539672
1967-07-01,-6.707936507936523
1967-08-01,16.85555555555554
1967-09-01,3.398412698412706
1967-10-01,-24.34920634920634
1967-11-01,-18.674603174603163
1967-12-01,7.609523809523807
1968-01-01,68.95873015873016
1968-02-01,-14.388888888888879
1968-03-01,0.9063492063492333
1968-04-01,29.595238095238095
1968-05-01,3.7269841269841066
1968-06-01,-3.3825396825396723
1968-07-01,35.19206349206348
1968-08-01,202.55555555555554
1968-09-01,81.8984126984127
1968-10-01,-15.449206349206342
1968-11-01,-47.57460317460316
1968-12-01,-48.69047619047619
1969-01-01,-39.54126984126983
1969-02-01,-7.388888888888879
1969-03-01,-8.893650793650764
1969-04-01,13.895238095238092
1969-05-01,-13.273015873015893
1969-06-01,48.917460317460325
1969-07-01,13.592063492063474
1969-08-01,49.855555555555554
1969-09-01,-32.00158730158729
1969-10-01,-63.049206349206344
1969-11-01,10.925396825396831
1969-12-01,-43.69047619047619
1970-01-01,-21.241269841269833
1970-02-01,149.31111111111113
1970-03-01,-4.093650793650767
1970-04-01,13.395238095238092
1970-05-01,64.92698412698411
1970-06-01,-16.582539682539675
1970-07-01,-16.707936507936523
1970-08-01,-9.244444444444454
1970-09-01,-18.101587301587294
1970-10-01,12.950793650793656
1970-11-01,-15.674603174603163
1970-12-01,-46.29047619047619
1971-01-01,-43.14126984126983
1971-02-01,-28.48888888888888
1971-03-01,-32.09365079365077
1971-04-01,-31.704761904761906
1971-05-01,-31.073015873015898
1971-06-01,123.81746031746033
1971-07-01,-71.60793650793651
1971-08-01,26.555555555555543
1971-09-01,-36.3015873015873
1971-10-01,-50.44920634920634
1971-11-01,3.7253968253968424
1971-12-01,-52.19047619047619
1972-01-01,-54.64126984126983
1972-02-01,-55.38888888888888
1972-03-01,-34.69365079365077
1972-04-01,31.295238095238098
1972-05-01,36.026984126984104
1972-06-01,9.417460317460325
1972-07-01,-44.20793650793652
1972-08-01,-47.244444444444454
1972-09-01,-20.101587301587294
1972-10-01,-23.749206349206347
